Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:47 PM  1000   1441388   19.00    3.00    0.00    0.00   22.00     1    923.00      0.00 2697020  240724   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:48 PM  1000   1441388   18.81    0.99    0.00    0.00   19.80     1    904.95      0.00 2697096  242056   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:49 PM  1000   1441388   20.20    2.02    0.00    0.00   22.22    12   1326.26      0.00 2697184  244576   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:50 PM  1000   1441388   14.85    0.99    0.00    0.00   15.84    12   1145.54      0.00 2697264  246696   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:51 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00    10   1454.00      0.00 2697344  249748   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:52 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00    10    901.00      0.00 2697424  250820   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:53 PM  1000   1441388   16.00    2.00    0.00    0.00   18.00     6   1317.00      0.00 2690872  252048   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:54 PM  1000   1441388   15.00    3.00    0.00    0.00   18.00     4   1272.00      0.00 2690948  254244   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:55 PM  1000   1441388   19.00    2.00    0.00    0.00   21.00     4   1117.00      0.00 2691028  255480   0.78  fastlio_mapping

