Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:54 PM  1000     22602   15.00    2.00    0.00    0.00   17.00    11    973.00      0.00 2621996  231620   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:55 PM  1000     22602   15.00    3.00    0.00    0.00   18.00    11    635.00      0.00 2622044  232620   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:56 PM  1000     22602   15.00    2.00    0.00    0.00   17.00     0    899.00      0.00 2622088  234628   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:57 PM  1000     22602   16.00    2.00    0.00    0.00   18.00     2    744.00      0.00 2622140  235568   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:58 PM  1000     22602   17.00    1.00    0.00    0.00   18.00     2    931.00      0.00 2622196  237592   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:57:59 PM  1000     22602   16.00    4.00    0.00    0.00   20.00     2    907.00      0.00 2622256  239584   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:00 PM  1000     22602   15.00    2.00    0.00    0.00   17.00     2    603.00      0.00 2622280  240152   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:01 PM  1000     22602   16.00    1.00    0.00    0.00   17.00     8   1064.00      0.00 2622336  242596   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:02 PM  1000     22602   17.00    2.00    0.00    0.00   19.00    12    767.00      0.00 2622360  243480   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:03 PM  1000     22602   13.00    2.00    0.00    0.00   15.00     6    804.00      0.00 2622416  244648   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:04 PM  1000     22602   15.00    2.00    0.00    0.00   17.00    14    960.00      0.00 2622476  246684   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:05 PM  1000     22602   15.00    2.00    0.00    0.00   17.00     2   1041.00      0.00 2622496  248632   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:06 PM  1000     22602   16.00    3.00    0.00    0.00   19.00    14    913.00      0.00 2622556  250060   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:07 PM  1000     22602   18.00    1.00    0.00    0.00   19.00    14    969.00      0.00 2622612  251680   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:08 PM  1000     22602   12.00    3.00    0.00    0.00   15.00     2    920.00      0.00 2622664  253232   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:09 PM  1000     22602   18.00    1.00    0.00    0.00   19.00     6    908.00      0.00 2622716  254304   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:58:10 PM  1000     22602   16.00    2.00    0.00    0.00   18.00     6    737.00      0.00 2622764  254972   0.78  fastlio_mapping
