Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:24 PM  1000    220395   18.00    4.00    0.00    0.00   22.00     0   1996.00      0.00 2620804  234576   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:25 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     0   2316.00      0.00 2620804  233048   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:26 PM  1000    220395   17.00    4.00    0.00    0.00   21.00     2   3549.00      0.00 2620804  239964   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:27 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     0   1121.00      0.00 2620804  243804   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:28 PM  1000    220395   18.00    2.00    0.00    0.00   20.00    12    752.00      0.00 2620804  244360   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:29 PM  1000    220395   19.00    3.00    0.00    0.00   22.00    12   1321.00      0.00 2620804  247476   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:30 PM  1000    220395   18.00    1.00    0.00    0.00   19.00     2    128.00      0.00 2620804  248052   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:31 PM  1000    220395   19.00    3.00    0.00    0.00   22.00     2    190.00      0.00 2620804  248820   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:32 PM  1000    220395   20.00    2.00    0.00    0.00   22.00     4    280.00      0.00 2620804  249780   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:33 PM  1000    220395   19.00    1.00    0.00    0.00   20.00     0    298.00      0.00 2620804  251124   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:34 PM  1000    220395   19.00    4.00    0.00    0.00   23.00     2    432.00      0.00 2620804  252852   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:35 PM  1000    220395   21.00    1.00    0.00    0.00   22.00     2    361.00      0.00 2620804  251968   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:36 PM  1000    220395   16.00    2.00    0.00    0.00   18.00     2    117.00      0.00 2620804  252352   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:37 PM  1000    220395   17.00    4.00    0.00    0.00   21.00     2   1054.00      0.00 2620804  252444   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:38 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     2    906.00      0.00 2624188  252712   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:39 PM  1000    220395   18.00    3.00    0.00    0.00   21.00    14    382.00      0.00 2624188  254440   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:40 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     0    335.00      0.00 2624188  253036   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:41 PM  1000    220395   18.00    2.00    0.00    0.00   20.00     2    741.00      0.00 2624188  254284   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:42 PM  1000    220395   18.00    3.00    0.00    0.00   21.00     4    680.00      0.00 2624188  256588   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:43 PM  1000    220395   18.00    2.00    0.00    0.00   20.00     4    510.00      0.00 2625828  258508   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:44 PM  1000    220395   19.00    2.00    0.00    0.00   21.00     4     99.00      0.00 2625872  259084   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:45 PM  1000    220395   16.00    3.00    0.00    0.00   19.00    10    208.00      0.00 2625908  259852   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:46 PM  1000    220395   16.00    2.00    0.00    0.00   18.00     2    427.00      0.00 2625952  261580   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:47 PM  1000    220395   16.00    1.00    0.00    0.00   17.00     3    130.00      0.00 2625996  262156   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:48 PM  1000    220395   18.00    3.00    0.00    0.00   21.00     2    688.00      0.00 2626060  262988   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
