Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:47 PM  1000   1171535   19.00    2.00    0.00    0.00   21.00     6    201.00      0.00 2632580  344472   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:48 PM  1000   1171535   24.00    1.00    0.00    0.00   25.00     8    183.00      0.00 2632604  345240   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:49 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00    14    728.00      0.00 2632664  345464   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:50 PM  1000   1171535   21.00    1.00    0.00    0.00   22.00    14     28.00      0.00 2632720  345656   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:51 PM  1000   1171535   23.00    2.00    0.00    0.00   25.00    14    831.00      0.00 2632776  346520   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:52 PM  1000   1171535   25.00    1.00    0.00    0.00   26.00     0    350.00      0.00 2632836  347864   1.07  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:53 PM  1000   1171535   26.00    2.00    0.00    0.00   28.00     0    889.00      0.00 2632900  348604   1.07  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:54 PM  1000   1171535   23.00    1.00    0.00    0.00   24.00     2   1109.00      0.00 2632968  350248   1.07  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:55 PM  1000   1171535   23.00    3.00    0.00    0.00   26.00     2    674.00      0.00 2633040  352552   1.08  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:56 PM  1000   1171535   24.00    2.00    0.00    0.00   26.00     8   1083.00      0.00 2633104  354196   1.09  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:57 PM  1000   1171535   24.00    3.00    0.00    0.00   27.00     8   1370.00      0.00 2633164  356804   1.09  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:58 PM  1000   1171535   26.00    2.00    0.00    0.00   28.00     4   1443.00      0.00 2633228  359516   1.10  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:59 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00    10   1329.00      0.00 2633884  361556   1.11  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:00 PM  1000   1171535   21.00    3.00    0.00    0.00   24.00     6    972.00      0.00 2633940  362052   1.11  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:01 PM  1000   1171535   22.00    2.00    0.00    0.00   24.00     6   1597.00      0.00 2634368  365220   1.12  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:02 PM  1000   1171535   19.00    4.00    0.00    0.00   23.00     0   1189.00      0.00 2634416  366584   1.12  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:03 PM  1000   1171535   21.00    2.00    0.00    0.00   23.00    10    871.00      0.00 2634464  366792   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:04 PM  1000   1171535   22.00    2.00    0.00    0.00   24.00     0   1194.00      0.00 2634520  368328   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:05 PM  1000   1171535   21.00    2.00    0.00    0.00   23.00    10    898.00      0.00 2634572  368296   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:06 PM  1000   1171535   20.00    2.00    0.00    0.00   22.00     2    906.00      0.00 2634616  368412   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:07 PM  1000   1171535   19.00    2.00    0.00    0.00   21.00     4    991.00      0.00 2634672  368892   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:08 PM  1000   1171535   19.00    3.00    0.00    0.00   22.00     5   1106.00      0.00 2634864  369604   1.13  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:09 PM  1000   1171535   21.00    2.00    0.00    0.00   23.00     5    977.00      0.00 2634924  370032   1.14  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:10 PM  1000   1171535   20.00    2.00    0.00    0.00   22.00     5   1095.00      0.00 2634948  370656   1.14  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:11 PM  1000   1171535   17.00    2.00    0.00    0.00   19.00     5   1391.00      0.00 2635788  372440   1.14  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:12 PM  1000   1171535   19.00    1.00    0.00    0.00   20.00    14   1138.00      0.00 2635816  373072   1.14  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:13 PM  1000   1171535   18.00    2.00    0.00    0.00   20.00    14   1202.00      0.00 2635844  374072   1.15  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:14 PM  1000   1171535   16.00    2.00    0.00    0.00   18.00     0   1244.00      0.00 2635868  375272   1.15  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:15 PM  1000   1171535   18.00    2.00    0.00    0.00   20.00    14   1006.00      0.00 2635932  375488   1.15  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:16 PM  1000   1171535   19.00    2.00    0.00    0.00   21.00     4   1016.00      0.00 2635988  375600   1.15  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:17 PM  1000   1171535   15.00    1.00    0.00    0.00   16.00     6   1215.00      0.00 2636040  376380   1.15  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:18 PM  1000   1171535    8.00    1.00    0.00    0.00    9.00     6   1321.00      0.00 2636096  377452   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:19 PM  1000   1171535   17.00    1.00    0.00    0.00   18.00     6   2231.00      0.00 2636152  382412   1.17  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:20 PM  1000   1171535   18.00    1.00    0.00    0.00   19.00     6   2145.00      0.00 2636212  386956   1.19  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:21 PM  1000   1171535   15.00    2.00    0.00    0.00   17.00     6   1920.00      0.00 2636276  390360   1.20  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:22 PM  1000   1171535   18.00    0.00    0.00    0.00   18.00     6   1974.00      0.00 2636300  393912   1.21  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:23 PM  1000   1171535   15.00    1.00    0.00    0.00   16.00     6   1781.00      0.00 2636880  396820   1.22  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:47:24 PM  1000   1171535   13.00    1.00    0.00    0.00   14.00     6   1093.00      0.00 2636908  396876   1.22  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
