Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:11 PM  1000     23883   22.00    2.00    0.00    0.00   24.00    10   1916.00      0.00 2607576  237188   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:12 PM  1000     23883   20.00    1.00    0.00    0.00   21.00     8    816.00      0.00 2607648  237332   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:13 PM  1000     23883   13.00    2.00    0.00    0.00   15.00     0    834.00      0.00 2607720  237476   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:14 PM  1000     23883   28.00    3.00    0.00    0.00   31.00     2    955.00      0.00 2607796  238336   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:15 PM  1000     23883   20.00    3.00    0.00    0.00   23.00    10   1055.00      0.00 2607884  239288   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:16 PM  1000     23883   10.00    2.00    0.00    0.00   12.00     2    901.00      0.00 2607960  239496   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:17 PM  1000     23883   12.00    1.00    0.00    0.00   13.00    10   1889.00      0.00 2608040  243244   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:18 PM  1000     23883   18.81    1.98    0.00    0.00   20.79     2   1339.60      0.00 2608124  245112   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:19 PM  1000     23883   19.00    1.00    0.00    0.00   20.00     2   2588.00      0.00 2608204  251496   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:20 PM  1000     23883   15.00    1.00    0.00    0.00   16.00     2   1373.00      0.00 2608288  253164   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:21 PM  1000     23883   24.00    2.00    0.00    0.00   26.00     2   1481.00      0.00 2608380  255452   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:22 PM  1000     23883   20.00    1.00    0.00    0.00   21.00     2   1534.00      0.00 2608464  257448   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:23 PM  1000     23883   20.00    1.00    0.00    0.00   21.00    12   1521.00      0.00 2608544  259360   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:24 PM  1000     23883   17.00    1.00    0.00    0.00   18.00    14   1653.00      0.00 2608628  262212   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:25 PM  1000     23883   26.00    1.00    0.00    0.00   27.00    14   1445.00      0.00 2609612  263916   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:26 PM  1000     23883   15.00    2.00    0.00    0.00   17.00    14   1516.00      0.00 2676020  265492   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:27 PM  1000     23883   18.00    2.00    0.00    0.00   20.00    14   1835.00      0.00 2676868  268508   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:28 PM  1000     23883   22.00    2.00    0.00    0.00   24.00     8   1234.00      0.00 2676964  269012   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:29 PM  1000     23883   16.00    2.00    0.00    0.00   18.00    14   1372.00      0.00 2677052  269880   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:30 PM  1000     23883   18.00    2.00    0.00    0.00   20.00    12   1196.00      0.00 2677128  270032   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:31 PM  1000     23883   22.00    1.00    0.00    0.00   23.00    14   1215.00      0.00 2677204  270272   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:32 PM  1000     23883   14.00    2.00    0.00    0.00   16.00    12   1231.00      0.00 2677276  270596   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:33 PM  1000     23883   16.00    3.00    0.00    0.00   19.00    12   1252.00      0.00 2677352  270748   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:34 PM  1000     23883   20.00    1.00    0.00    0.00   21.00     8   1274.00      0.00 2677432  270908   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:35 PM  1000     23883   19.00    3.00    0.00    0.00   22.00    10   1299.00      0.00 2677508  271060   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:36 PM  1000     23883   16.00    2.00    0.00    0.00   18.00    10   1371.00      0.00 2677588  271488   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:37 PM  1000     23883   23.00    2.00    0.00    0.00   25.00    10   1336.00      0.00 2677672  271656   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:38 PM  1000     23883   13.00    2.00    0.00    0.00   15.00     0   1465.00      0.00 2677764  272360   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:39 PM  1000     23883   16.00    2.00    0.00    0.00   18.00     0   1710.00      0.00 2677860  273864   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:40 PM  1000     23883   23.00    2.00    0.00    0.00   25.00    14   1732.00      0.00 2677964  275140   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:41 PM  1000     23883   18.00    1.00    0.00    0.00   19.00    12   1734.00      0.00 2678068  276344   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:42 PM  1000     23883   19.00    1.00    0.00    0.00   20.00     0   1519.00      0.00 2678180  276568   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:43 PM  1000     23883   22.00    2.00    0.00    0.00   24.00     2   1724.00      0.00 2678300  277576   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:44 PM  1000     23883   19.00    3.00    0.00    0.00   22.00     0   1533.00      0.00 2678408  277944   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:45 PM  1000     23883   17.00    1.00    0.00    0.00   18.00     0   3244.00      0.00 2684392  279116   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:46 PM  1000     23883   17.00    2.00    0.00    0.00   19.00     0   1783.00      0.00 2684504  280252   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:47 PM  1000     23883   18.00    2.00    0.00    0.00   20.00    10   1778.00      0.00 2684604  281224   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:48 PM  1000     23883   14.00    2.00    0.00    0.00   16.00     0   1626.00      0.00 2684692  281404   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:49 PM  1000     23883   19.00    2.00    0.00    0.00   21.00    10   1651.00      0.00 2684784  281752   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:50 PM  1000     23883   16.00    1.00    0.00    0.00   17.00     0   1782.00      0.00 2684876  282524   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:51 PM  1000     23883   18.00    1.00    0.00    0.00   19.00     2   2346.00      0.00 2684956  285028   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:52 PM  1000     23883   17.00    2.00    0.00    0.00   19.00     2   1711.00      0.00 2685040  285196   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:53 PM  1000     23883   20.00    1.00    0.00    0.00   21.00    12   1724.00      0.00 2685116  285344   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:54 PM  1000     23883   16.00    2.00    0.00    0.00   18.00     0   1746.00      0.00 2685192  285532   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:55 PM  1000     23883    9.00    2.00    0.00    0.00   11.00     0   1788.00      0.00 2685272  285852   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:56 PM  1000     23883   15.00    2.00    0.00    0.00   17.00    12   1843.00      0.00 2685356  286236   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:57 PM  1000     23883   14.00    1.00    0.00    0.00   15.00     8   1821.00      0.00 2685432  286404   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:58 PM  1000     23883   19.00    2.00    0.00    0.00   21.00    12   2003.00      0.00 2685504  287348   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:59 PM  1000     23883   14.00    1.00    0.00    0.00   15.00    14   1839.00      0.00 2685576  287576   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:00 PM  1000     23883   20.00    2.00    0.00    0.00   22.00    14   1911.00      0.00 2685644  287928   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:01 PM  1000     23883   14.00    2.00    0.00    0.00   16.00    14   1874.00      0.00 2685716  288040   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:02 PM  1000     23883   18.00    2.00    0.00    0.00   20.00    12   1892.00      0.00 2685788  288184   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:03 PM  1000     23883   17.00    2.00    0.00    0.00   19.00    12   1908.00      0.00 2685860  288356   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:04 PM  1000     23883   15.00    1.00    0.00    0.00   16.00    14   1929.00      0.00 2685932  288504   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:05 PM  1000     23883   16.00    2.00    0.00    0.00   18.00    10   1949.00      0.00 2686008  288732   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:06 PM  1000     23883   20.00    3.00    0.00    0.00   23.00    14   1972.00      0.00 2686092  288976   0.89  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:41:07 PM  1000     23883   18.00    2.00    0.00    0.00   20.00    10   2360.00      0.00 2686172  290484   0.89  fastlio_mapping

